Estado,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20
AGUASCALIENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
BAJA CALIFORNIA,0.0,3.0,5.0,5.0,6.0,7.0,7.0,15.0,16.0,17.0,20.0,22.0,25.0,28.0,28.0,31.0,33.0,68.0
BAJA CALIFORNIA SUR,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,6.0,6.0
CAMPECHE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
CHIAPAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CHIHUAHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0,13.0,16.0,20.0,23.0,26.0,31.0
CIUDAD DE MÉXICO,8.0,13.0,15.0,17.0,19.0,29.0,32.0,39.0,43.0,46.0,49.0,56.0,64.0,92.0,99.0,110.0,136.0,178.0
COAHUILA,2.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,11.0,11.0,12.0,12.0,12.0,15.0,15.0,18.0
COLIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DURANGO,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
GUANAJUATO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0
GUERRERO,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,9.0,11.0,11.0
HIDALGO,3.0,3.0,3.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,12.0,12.0,13.0,13.0
JALISCO,3.0,4.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0
MICHOACÁN,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,7.0,8.0,9.0,9.0,11.0,12.0,13.0,14.0,16.0
MORELOS,1.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,10.0,11.0
MÉXICO,1.0,1.0,1.0,3.0,3.0,8.0,9.0,11.0,11.0,16.0,19.0,22.0,27.0,35.0,43.0,46.0,49.0,52.0
NAYARIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
NUEVO LEÓN,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
OAXACA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0
PUEBLA,1.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,10.0,15.0,18.0,20.0,22.0,27.0,31.0,32.0,37.0,40.0
QUERETARO,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0
QUINTANA ROO,1.0,1.0,1.0,2.0,4.0,8.0,9.0,10.0,12.0,13.0,18.0,19.0,22.0,25.0,27.0,28.0,31.0,31.0
SAN LUIS POTOSÍ,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SINALOA,4.0,4.0,5.0,10.0,12.0,12.0,13.0,13.0,15.0,18.0,24.0,24.0,28.0,34.0,38.0,40.0,43.0,45.0
SONORA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,9.0,9.0,9.0,10.0,10.0,10.0
TABASCO,1.0,3.0,3.0,3.0,4.0,8.0,8.0,8.0,9.0,9.0,12.0,12.0,14.0,19.0,21.0,25.0,27.0,28.0
TAMAULIPAS,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
VERACRUZ,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,8.0
YUCATÁN,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,8.0,10.0
ZACATECAS,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NACIONAL,37.0,50.0,60.0,79.0,94.0,125.0,141.0,174.0,194.0,233.0,273.0,296.0,332.0,406.0,449.0,486.0,546.0,650.0
