"Date","AGUASCALIENTES","CIUDAD DE MÉXICO","COLIMA","GUANAJUATO","GUERRERO","HIDALGO","JALISCO","MÉXICO","MICHOACÁN DE OCAMPO","MORELOS","NAYARIT","NUEVO LEÓN","PUEBLA","QUERÉTARO","SAN LUIS POTOSÍ","TAMAULIPAS","TLAXCALA","ZACATECAS","dTotal","aTotal","lag_1_Confirmed","lag_2_Confirmed","lag_3_Confirmed"
2020-04-19,7,416,0,13,15,18,11,165,14,21,2,11,30,5,2,11,9,6,836,13186,927,855,744
2020-04-20,19,722,1,15,22,29,20,214,41,34,2,11,42,6,9,34,22,5,1355,14541,836,927,855
2020-04-21,6,415,1,13,16,23,20,188,16,18,1,8,43,5,8,26,20,2,859,15400,1355,836,927
2020-04-22,12,434,0,12,18,18,17,169,23,35,4,15,24,8,2,24,8,4,948,16348,859,1355,836
2020-04-23,18,457,2,10,21,24,23,180,26,25,7,12,35,5,3,31,10,2,951,17299,948,859,1355
2020-04-24,12,570,1,20,35,26,21,174,28,47,12,12,51,4,6,26,16,3,1120,18419,951,948,859
2020-04-25,11,566,1,14,32,21,15,202,23,39,7,20,37,9,16,49,15,2,1148,19567,1120,951,948
2020-04-26,12,486,0,21,20,29,18,208,36,31,11,23,40,11,11,37,16,4,1047,20614,1148,1120,951
2020-04-27,31,648,3,17,22,30,22,200,24,37,7,33,53,9,22,50,20,16,1225,21839,1047,1148,1120
2020-04-28,12,575,0,10,27,27,18,232,21,39,7,14,29,6,19,31,8,7,1150,22989,1225,1047,1148
2020-04-29,17,460,2,7,36,29,19,187,19,50,15,15,38,10,8,28,16,8,1015,24004,1150,1225,1047
2020-04-30,24,706,2,21,34,30,31,225,31,42,19,23,35,7,17,29,26,4,1396,25400,1015,1150,1225
2020-05-01,10,1077,2,33,45,37,25,282,48,47,19,38,52,16,23,50,19,5,1951,27351,1396,1015,1150
2020-05-02,19,625,2,38,30,27,36,210,28,30,17,17,40,10,17,26,17,7,1318,28669,1951,1396,1015
2020-05-03,12,651,1,28,40,32,28,200,58,35,10,17,42,15,21,20,19,1,1297,29966,1318,1951,1396
2020-05-04,23,890,2,32,46,40,47,213,48,43,18,29,66,17,30,37,24,8,1639,31605,1297,1318,1951
2020-05-05,24,839,0,35,34,31,34,232,52,40,5,75,62,30,28,47,16,9,1579,33184,1639,1297,1318
2020-05-06,9,764,3,30,34,33,23,227,40,36,13,23,71,19,21,32,39,8,1438,34622,1579,1639,1297
2020-05-07,20,824,4,44,35,29,29,269,47,37,8,29,71,37,28,33,37,4,1585,36207,1438,1579,1639
2020-05-08,8,932,6,38,48,59,19,309,63,63,15,45,84,37,30,22,34,6,1860,38067,1585,1438,1579
2020-05-09,8,796,3,40,57,47,37,277,42,38,16,33,79,26,23,35,24,3,1616,39683,1860,1585,1438
2020-05-10,20,1152,2,29,62,64,42,348,77,44,21,39,88,44,34,33,42,11,2190,41873,1616,1860,1585
2020-05-11,32,983,7,47,61,61,49,332,70,38,14,46,119,46,22,43,36,3,1995,43868,2190,1616,1860
2020-05-12,14,877,9,50,68,45,39,252,63,33,15,46,128,47,17,49,28,10,1757,45625,1995,2190,1616
