K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
136441.01418503764,136345.6178188735,136061.39783832087,136367.36819252805,136131.5036100916,136083.4426495987,136277.8376336744,136047.23598079453,135994.6763015712,136168.11650624336
121382.20743110379,121467.26967039259,121248.12686854877,121451.64628822508,121228.94992494772,121070.8013578182,121402.30704781908,121215.66940754578,121133.47053523528,121234.02448471634
119977.17134028341,120074.35385112686,119863.67434229437,120063.22137331702,119818.5245366336,119680.75377916418,120004.77778767244,119796.78556064262,119722.56297186618,119863.69519628501
119270.08056722772,119387.90719407513,119163.05861644883,119367.16842812106,119136.61880541015,118916.37390882679,119260.74852148544,119112.21640424152,118957.92385399011,119142.69593855039
118528.24396302045,118661.55668514669,118483.63763907344,118657.02999753329,118415.96786021163,118229.88095735418,118584.13116014707,118398.85319357729,118271.91491259361,118462.08393586782
118131.15449472265,118279.94030193957,118119.22024529448,118265.53225487728,118032.70791373173,117850.28703575693,118188.08113261608,118028.24247372268,117914.72537391078,118077.6753754508
117978.33046830446,118126.28077950414,117970.24010361776,118118.59033435836,117877.11145085255,117695.22991274478,118033.02047883127,117878.32043265412,117762.6208292058,117921.13926769426
117845.94044444736,117982.30072915724,117830.93486358528,117985.09636065231,117733.20736733111,117567.12974506171,117898.25306499221,117742.9375739317,117620.89527873762,117780.24289454498
117766.7318417342,117901.17197604969,117747.84119858498,117898.56241144758,117645.167620076,117480.66892638242,117807.73534555505,117657.0138035887,117537.12948277044,117714.18219148062
117718.07694907952,117856.28969064976,117695.79435167191,117842.51394957444,117592.14882225296,117432.30564644252,117759.81743895453,117602.4527160141,117481.32830113322,117663.05480398108
117681.09939272657,117821.1897203049,117658.89136290166,117812.05500471267,117557.459146052,117395.64794210935,117725.17911949116,117563.86785397207,117442.35459606038,117622.06060009939
117655.83443356099,117796.01296068329,117640.12466331472,117793.77375526892,117533.20664647555,117371.44086308098,117701.2180846544,117539.90146854756,117418.2426498564,117595.9725284545
