K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
136457.33787262885,136361.9415064647,136077.7215259121,136383.69188011927,136147.82729768282,136099.7663371899,136294.16132126562,136063.55966838574,136010.9999891624,136184.44019383457
121406.6929624906,121491.75520177941,121272.61239993559,121476.1318196119,121253.43545633454,121095.28688920502,121426.7925792059,121240.1549389326,121157.9560666221,121258.51001610316
120009.81871546584,120107.00122630928,119896.32171747679,120095.86874849944,119851.17191181603,119713.4011543466,120037.42516285487,119829.43293582504,119755.2103470486,119896.34257146744
119310.88978620575,119428.71641305316,119203.86783542686,119407.97764709909,119177.42802438818,118957.18312780482,119301.55774046347,119153.02562321955,118998.73307296814,119183.50515752842
118577.21502579408,118710.52774792032,118532.60870184707,118706.00106030692,118464.93892298527,118278.85202012782,118633.1022229207,118447.82425635093,118320.88597536724,118511.05499864146
118188.28740129189,118337.07320850881,118176.35315186372,118322.66516144652,118089.84082030097,117907.41994232617,118245.21403918532,118085.37538029192,117971.85828048002,118134.80828202004
118043.6252186693,118191.57552986899,118035.53485398261,118183.88508472321,117942.4062012174,117760.52466310962,118098.31522919612,117943.61518301896,117827.91557957065,117986.43401805911
117919.39703860781,118055.7573233177,117904.39145774573,118058.55295481277,117806.66396149156,117640.58633922217,117971.70965915266,117816.39416809216,117694.35187289807,117853.69948870543
117848.35027969026,117982.79041400575,117829.45963654104,117980.18084940364,117726.78605803206,117562.28736433848,117889.3537835111,117738.63224154476,117618.7479207265,117795.80062943668
117807.85723083119,117946.06997240143,117785.57463342357,117932.2942313261,117681.92910400462,117522.08592819418,117849.5977207062,117692.23299776576,117571.10858288489,117752.83508573275
117779.04151827384,117919.13184585217,117756.83348844893,117909.99713025994,117655.40127159927,117493.59006765662,117823.12124503843,117661.80997951934,117540.29672160765,117720.00272564666
117761.93840290386,117902.11693002617,117746.2286326576,117899.8777246118,117639.31061581842,117477.54483242385,117807.32205399728,117646.00543789043,117524.34661919928,117702.07649779737
