K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
136437.01418503764,136341.6178188735,136057.39783832087,136363.36819252805,136127.5036100916,136079.4426495987,136273.8376336744,136043.23598079453,135990.6763015712,136164.11650624336
121376.20743110379,121461.26967039259,121242.12686854877,121445.64628822508,121222.94992494772,121064.8013578182,121396.30704781908,121209.66940754578,121127.47053523528,121228.02448471634
119969.17134028341,120066.35385112686,119855.67434229437,120055.22137331702,119810.5245366336,119672.75377916418,119996.77778767244,119788.78556064262,119714.56297186618,119855.69519628501
119260.08056722772,119377.90719407513,119153.05861644883,119357.16842812106,119126.61880541015,118906.37390882679,119250.74852148544,119102.21640424152,118947.92385399011,119132.69593855039
118516.24396302045,118649.55668514669,118471.63763907344,118645.02999753329,118403.96786021163,118217.88095735418,118572.13116014707,118386.85319357729,118259.91491259361,118450.08393586782
118117.15449472265,118265.94030193957,118105.22024529448,118251.53225487728,118018.70791373173,117836.28703575693,118174.08113261608,118014.24247372268,117900.72537391078,118063.6753754508
117962.33046830446,118110.28077950414,117954.24010361776,118102.59033435836,117861.11145085255,117679.22991274478,118017.02047883127,117862.32043265412,117746.6208292058,117905.13926769426
117827.94044444736,117964.30072915724,117812.93486358528,117967.09636065231,117715.20736733111,117549.12974506171,117880.25306499221,117724.9375739317,117602.89527873762,117762.24289454498
117746.7318417342,117881.17197604969,117727.84119858498,117878.56241144758,117625.167620076,117460.66892638242,117787.73534555505,117637.0138035887,117517.12948277044,117694.18219148062
117696.07694907952,117834.28969064976,117673.79435167191,117820.51394957444,117570.14882225296,117410.30564644252,117737.81743895453,117580.4527160141,117459.32830113322,117641.05480398108
117657.09939272657,117797.1897203049,117634.89136290166,117788.05500471267,117533.459146052,117371.64794210935,117701.17911949116,117539.86785397207,117418.35459606038,117598.06060009939
117629.83443356099,117770.01296068329,117614.12466331472,117767.77375526892,117507.20664647555,117345.44086308098,117675.2180846544,117513.90146854756,117392.2426498564,117569.9725284545
