"mean" "sd" "2.5%" "97.5%" "n_eff" "Rhat"
"(Intercept)" -4.78736237515908 0.0264361635322707 -4.83953750456951 -4.7350784978547 8354.38154036162 1.00018553715597
"SEXOMale" 0.531252391469566 0.0109468612485269 0.509567798617583 0.552281263786145 7772.3033681273 0.999680183009234
"EDAD" 0.0478465921480987 0.00052095773361098 0.0468144212116069 0.0488637312734453 8156.99685227156 1.00000144993656
"DIABETESYes" 0.885880154871632 0.0117536747069457 0.862893897382815 0.908652705528165 7362.87324680845 0.999868202149542
"EPOCYes" 0.845802347932156 0.0302942450951214 0.786549791523332 0.90582812595538 7295.16995301688 1.00012481034862
"INMUSUPRYes" 0.591989944123699 0.035405644566384 0.520934893810396 0.662472479266502 8648.13753911752 1.00000980086616
"HIPERTENSIONYes" 0.785437622060313 0.0110904829725582 0.763654701565836 0.806812844049958 7961.94169137076 1.00009483232955
"OBESIDADYes" 0.247480336187273 0.0122064804603466 0.22337393777846 0.271263258823357 8182.42196910206 0.999883009775825
"RENAL_CRONICAYes" 1.14571880371887 0.0272675129597437 1.09149793220406 1.19926860198405 7589.40448716399 0.999496271386188
"mean_PPD" 0.186814023691687 0.00114591955772538 0.184569089298262 0.189029419851526 8634.1701735793 0.99985475115156
"log-posterior" -48137.5166097264 2.1062938967159 -48142.4758624224 -48134.3887302619 3594.27353977222 1.00106751604295
